date,press,region,title,sub_title,description,content,article_url,image_url
2026-02-22,제주일보,jeju,제주 수출 87% 급증에도 내수는 ‘한파’,제주 수출 87% 급증에도 내수는 ‘한파’,...,,http://www.jejunews.com/news/articleView.html?idxno=2223640,
2026-02-22,제주일보,jeju,춘제 특수에 제주 ‘들썩’…중국인 관광객 3만5천명 몰린다,춘제 특수에 제주 ‘들썩’…중국인 관광객 3만5천명 몰린다,...,,http://www.jejunews.com/news/articleView.html?idxno=2223639,
2026-02-11,제주일보,jeju,설 연휴 제주공항 18일 가장 붐빈다…6일간 52만명 이용 예상,설 연휴 제주공항 18일 가장 붐빈다…6일간 52만명 이용 예상,...,,http://www.jejunews.com/news/articleView.html?idxno=2223527,
2026-02-11,제주일보,jeju,설 선물로 나온 전통주 ‘제주 김만덕’주,설 선물로 나온 전통주 ‘제주 김만덕’주,...,,http://www.jejunews.com/news/articleView.html?idxno=2223525,
2026-02-09,제주일보,jeju,차례상 비용 2% 내렸지만…떡·채소·옥돔은 올랐다,차례상 비용 2% 내렸지만…떡·채소·옥돔은 올랐다,...,,http://www.jejunews.com/news/articleView.html?idxno=2223489,
2026-02-09,제주일보,jeju,제주 ‘건강한 활동 기간’ 줄었다…건강수명 감소,제주 ‘건강한 활동 기간’ 줄었다…건강수명 감소,...,,http://www.jejunews.com/news/articleView.html?idxno=2223488,
2026-02-08,제주일보,jeju,"폭설에 멈췄던 제주공항, 오전 11시부터 운항 재개","폭설에 멈췄던 제주공항, 오전 11시부터 운항 재개",...,,http://www.jejunews.com/news/articleView.html?idxno=2223465,
2026-02-05,제주일보,jeju,무관세 미국산 만다린 공세…제주 만감류 ‘품질 사수’ 총력,무관세 미국산 만다린 공세…제주 만감류 ‘품질 사수’ 총력,...,,http://www.jejunews.com/news/articleView.html?idxno=2223439,
2026-02-05,제주일보,jeju,새해 제주 아파트 경매 8건 전부 유찰,새해 제주 아파트 경매 8건 전부 유찰,...,,http://www.jejunews.com/news/articleView.html?idxno=2223438,
2026-02-05,제주일보,jeju,"일자리 없는 제주, 청년은 집에서 쉰다","일자리 없는 제주, 청년은 집에서 쉰다",...,,http://www.jejunews.com/news/articleView.html?idxno=2223437,
2026-02-03,제주일보,jeju,"물가는 안정, 장바구니는 불안…수산물 12% 급등","물가는 안정, 장바구니는 불안…수산물 12% 급등",...,,http://www.jejunews.com/news/articleView.html?idxno=2223392,
2026-02-01,제주일보,jeju,의약품·식료품 생산 급증에도 소비는 ‘위축’,의약품·식료품 생산 급증에도 소비는 ‘위축’,...,,http://www.jejunews.com/news/articleView.html?idxno=2223345,
2026-01-28,제주일보,jeju,제주 건설업계 “버틸 힘 없다”…1조원대 국책사업 적기 착공 촉구,제주 건설업계 “버틸 힘 없다”…1조원대 국책사업 적기 착공 촉구,...,,http://www.jejunews.com/news/articleView.html?idxno=2223291,
2026-01-28,제주일보,jeju,"제주은행, 설 앞두고 소상공인 100억 특별보증 지원","제주은행, 설 앞두고 소상공인 100억 특별보증 지원",...,,http://www.jejunews.com/news/articleView.html?idxno=2223290,
2026-01-28,제주일보,jeju,제주 기업심리 3개월째 기준치 하회…“체감경기 여전히 냉랭”,제주 기업심리 3개월째 기준치 하회…“체감경기 여전히 냉랭”,...,,http://www.jejunews.com/news/articleView.html?idxno=2223289,
2026-01-27,제주일보,jeju,제주 외식물가 1년 새 최대 8%↑…“만원 이하 점심 사라진다”,제주 외식물가 1년 새 최대 8%↑…“만원 이하 점심 사라진다”,...,,http://www.jejunews.com/news/articleView.html?idxno=2223263,
2026-01-26,제주일보,jeju,설 앞두고 제주 만감류 살리기…하나로마트 최대 40% 할인,설 앞두고 제주 만감류 살리기…하나로마트 최대 40% 할인,...,,http://www.jejunews.com/news/articleView.html?idxno=2223242,
2026-01-25,제주일보,jeju,민생쿠폰에도 못 막았다…제주 자영업자 7년 내 최저,민생쿠폰에도 못 막았다…제주 자영업자 7년 내 최저,...,,http://www.jejunews.com/news/articleView.html?idxno=2223216,
2026-01-25,제주일보,jeju,제주 소비심리 반등…저축 늘고 부채 인식 완화,제주 소비심리 반등…저축 늘고 부채 인식 완화,...,,http://www.jejunews.com/news/articleView.html?idxno=2223215,
2026-01-21,제주일보,jeju,제주개발공사 임직원 혜택 부적정 지적,제주개발공사 임직원 혜택 부적정 지적,...,,http://www.jejunews.com/news/articleView.html?idxno=2223184,
2026-01-18,제주일보,jeju,속수무책 내리막…제주 골프장 내장객 4년 연속 감소,속수무책 내리막…제주 골프장 내장객 4년 연속 감소,...,,http://www.jejunews.com/news/articleView.html?idxno=2223098,
2026-01-13,제주일보,jeju,세계에서 가장 바쁜 하늘길...'제주~김포 노선',세계에서 가장 바쁜 하늘길...'제주~김포 노선',...,,http://www.jejunews.com/news/articleView.html?idxno=2223054,
2026-01-11,제주일보,jeju,“매일 마시는 커피가 부담”…제주 커피값 1년 새 10%↑,“매일 마시는 커피가 부담”…제주 커피값 1년 새 10%↑,...,,http://www.jejunews.com/news/articleView.html?idxno=2222990,
2026-01-11,제주일보,jeju,제주경제 ‘정밀 진단’ 나선다…제주도·한국은행 협력체계 구축,제주경제 ‘정밀 진단’ 나선다…제주도·한국은행 협력체계 구축,...,,http://www.jejunews.com/news/articleView.html?idxno=2222989,
2026-01-11,제주일보,jeju,"탐나는전, 새 플랫폼으로 재출발…적립률 10%·월 최대 7만원 혜택","탐나는전, 새 플랫폼으로 재출발…적립률 10%·월 최대 7만원 혜택",...,,http://www.jejunews.com/news/articleView.html?idxno=2222984,
2026-01-11,제주일보,jeju,만다린 수입 확대 ‘직격탄’ 우려… 제주 감귤산업 대응 논의,만다린 수입 확대 ‘직격탄’ 우려… 제주 감귤산업 대응 논의,...,,http://www.jejunews.com/news/articleView.html?idxno=2222983,
2026-01-07,제주일보,jeju,제키스 '제주 초콜릿' 중국에 150만 달러 수출 계약,제키스 '제주 초콜릿' 중국에 150만 달러 수출 계약,...,,http://www.jejunews.com/news/articleView.html?idxno=2222955,
2026-01-07,제주일보,jeju,지난해 외국인 제주 직접투자 1700만달러...역대 최저,지난해 외국인 제주 직접투자 1700만달러...역대 최저,...,,http://www.jejunews.com/news/articleView.html?idxno=2222947,
